starttime	seconds	ctime	dtime	ttime	wait
Mon Jan 30 17:51:14 2023	1675080374	6	1020	1026	1020
Mon Jan 30 17:51:14 2023	1675080374	6	1021	1027	1020
Mon Jan 30 17:51:15 2023	1675080375	0	1027	1027	1027
Mon Jan 30 17:51:14 2023	1675080374	3	1024	1027	1024
Mon Jan 30 17:51:40 2023	1675080400	0	1029	1029	1029
Mon Jan 30 17:51:30 2023	1675080390	0	1030	1030	1029
Mon Jan 30 17:51:14 2023	1675080374	5	1026	1031	1025
Mon Jan 30 17:51:30 2023	1675080390	0	1032	1032	1031
Mon Jan 30 17:51:40 2023	1675080400	0	1033	1033	1032
Mon Jan 30 17:51:15 2023	1675080375	0	1034	1034	1033
Mon Jan 30 17:51:14 2023	1675080374	5	1031	1036	1030
Mon Jan 30 17:51:40 2023	1675080400	0	1043	1044	1043
Mon Jan 30 17:51:40 2023	1675080400	0	1048	1049	1048
Mon Jan 30 17:51:14 2023	1675080374	5	1044	1049	1044
Mon Jan 30 17:51:40 2023	1675080400	0	1053	1053	1046
Mon Jan 30 17:51:15 2023	1675080375	0	1053	1053	1052
Mon Jan 30 17:51:14 2023	1675080374	5	1049	1054	1049
Mon Jan 30 17:51:14 2023	1675080374	4	1050	1055	1050
Mon Jan 30 17:51:40 2023	1675080400	0	1054	1055	1054
Mon Jan 30 17:51:40 2023	1675080400	0	1055	1055	1054
Mon Jan 30 17:51:15 2023	1675080375	0	1056	1056	1056
Mon Jan 30 17:51:15 2023	1675080375	0	1057	1057	1056
Mon Jan 30 17:51:14 2023	1675080374	5	1054	1059	1053
Mon Jan 30 17:51:15 2023	1675080375	0	1060	1060	1059
Mon Jan 30 17:51:30 2023	1675080390	0	1064	1064	1063
Mon Jan 30 17:51:30 2023	1675080390	0	1066	1066	1065
Mon Jan 30 17:51:33 2023	1675080393	0	1066	1066	1066
Mon Jan 30 17:51:14 2023	1675080374	6	1063	1069	1062
Mon Jan 30 17:51:30 2023	1675080390	0	1069	1069	1068
Mon Jan 30 17:51:38 2023	1675080398	0	1070	1070	1069
Mon Jan 30 17:51:14 2023	1675080374	5	1065	1070	1065
Mon Jan 30 17:51:14 2023	1675080374	5	1065	1070	1064
Mon Jan 30 17:51:15 2023	1675080375	0	1070	1071	1070
Mon Jan 30 17:51:29 2023	1675080389	0	1072	1072	1071
Mon Jan 30 17:51:30 2023	1675080390	0	1073	1073	1072
Mon Jan 30 17:51:15 2023	1675080375	0	1075	1075	1074
Mon Jan 30 17:51:36 2023	1675080396	0	1076	1076	1076
Mon Jan 30 17:51:14 2023	1675080374	3	1074	1077	1072
Mon Jan 30 17:51:30 2023	1675080390	0	1077	1078	1077
Mon Jan 30 17:51:15 2023	1675080375	0	1078	1078	1077
Mon Jan 30 17:51:38 2023	1675080398	0	1078	1078	1077
Mon Jan 30 17:51:30 2023	1675080390	0	1080	1080	1079
Mon Jan 30 17:51:14 2023	1675080374	6	1075	1080	1073
Mon Jan 30 17:51:15 2023	1675080375	0	1080	1081	1080
Mon Jan 30 17:51:14 2023	1675080374	6	1075	1081	1073
Mon Jan 30 17:51:33 2023	1675080393	0	1082	1083	1082
Mon Jan 30 17:51:40 2023	1675080400	0	1083	1083	1083
Mon Jan 30 17:51:29 2023	1675080389	0	1083	1083	1083
Mon Jan 30 17:51:30 2023	1675080390	0	1083	1083	1083
Mon Jan 30 17:51:40 2023	1675080400	0	1083	1084	1083
Mon Jan 30 17:51:34 2023	1675080394	0	1084	1084	1083
Mon Jan 30 17:51:30 2023	1675080390	0	1087	1088	1087
Mon Jan 30 17:51:36 2023	1675080396	0	1089	1089	1088
Mon Jan 30 17:51:38 2023	1675080398	1	1090	1090	1089
Mon Jan 30 17:51:30 2023	1675080390	0	1093	1093	1092
Mon Jan 30 17:51:33 2023	1675080393	0	1093	1093	1092
Mon Jan 30 17:51:14 2023	1675080374	5	1089	1094	1088
Mon Jan 30 17:51:14 2023	1675080374	6	1090	1096	1088
Mon Jan 30 17:51:16 2023	1675080376	0	1098	1098	1097
Mon Jan 30 17:51:40 2023	1675080400	0	1099	1099	1098
Mon Jan 30 17:51:36 2023	1675080396	0	1099	1100	1099
Mon Jan 30 17:51:36 2023	1675080396	0	1103	1103	1102
Mon Jan 30 17:51:14 2023	1675080374	6	1098	1105	1098
Mon Jan 30 17:51:34 2023	1675080394	0	1105	1105	1104
Mon Jan 30 17:51:34 2023	1675080394	0	1106	1107	1106
Mon Jan 30 17:51:37 2023	1675080397	0	1107	1107	1106
Mon Jan 30 17:51:34 2023	1675080394	0	1108	1108	1107
Mon Jan 30 17:51:34 2023	1675080394	0	1110	1110	1109
Mon Jan 30 17:51:33 2023	1675080393	0	1110	1110	1109
Mon Jan 30 17:51:14 2023	1675080374	6	1105	1110	1104
Mon Jan 30 17:51:14 2023	1675080374	6	1105	1110	1104
Mon Jan 30 17:51:36 2023	1675080396	0	1111	1112	1110
Mon Jan 30 17:51:29 2023	1675080389	0	1112	1112	1111
Mon Jan 30 17:51:14 2023	1675080374	5	1107	1113	1107
Mon Jan 30 17:51:38 2023	1675080398	0	1113	1113	1112
Mon Jan 30 17:51:33 2023	1675080393	0	1114	1115	1114
Mon Jan 30 17:51:38 2023	1675080398	0	1115	1115	1114
Mon Jan 30 17:51:37 2023	1675080397	0	1116	1117	1116
Mon Jan 30 17:51:33 2023	1675080393	0	1117	1117	1117
Mon Jan 30 17:51:34 2023	1675080394	0	1118	1118	1117
Mon Jan 30 17:51:37 2023	1675080397	0	1118	1118	1117
Mon Jan 30 17:51:38 2023	1675080398	0	1118	1118	1117
Mon Jan 30 17:51:37 2023	1675080397	0	1118	1118	1118
Mon Jan 30 17:51:14 2023	1675080374	5	1115	1121	1115
Mon Jan 30 17:51:14 2023	1675080374	4	1117	1121	1116
Mon Jan 30 17:51:37 2023	1675080397	0	1121	1121	1121
Mon Jan 30 17:51:37 2023	1675080397	0	1122	1122	1121
Mon Jan 30 17:51:38 2023	1675080398	0	1122	1122	1121
Mon Jan 30 17:51:36 2023	1675080396	0	1122	1122	1121
Mon Jan 30 17:51:14 2023	1675080374	6	1116	1122	1115
Mon Jan 30 17:51:15 2023	1675080375	0	1123	1123	1122
Mon Jan 30 17:51:33 2023	1675080393	0	1123	1123	1122
Mon Jan 30 17:51:15 2023	1675080375	0	1124	1124	1123
Mon Jan 30 17:51:15 2023	1675080375	0	1125	1125	1124
Mon Jan 30 17:51:14 2023	1675080374	5	1120	1125	1119
Mon Jan 30 17:51:36 2023	1675080396	0	1126	1126	1125
Mon Jan 30 17:51:38 2023	1675080398	0	1126	1127	1126
Mon Jan 30 17:51:14 2023	1675080374	6	1121	1127	1120
Mon Jan 30 17:51:15 2023	1675080375	0	1128	1128	1127
Mon Jan 30 17:51:37 2023	1675080397	0	1128	1128	1127
Mon Jan 30 17:51:36 2023	1675080396	1	1127	1128	1127
Mon Jan 30 17:51:36 2023	1675080396	0	1128	1129	1128
Mon Jan 30 17:51:15 2023	1675080375	0	1129	1129	1128
Mon Jan 30 17:51:34 2023	1675080394	0	1129	1129	1128
Mon Jan 30 17:51:38 2023	1675080398	0	1129	1129	1128
Mon Jan 30 17:51:30 2023	1675080390	0	1131	1131	1130
Mon Jan 30 17:51:15 2023	1675080375	0	1131	1131	1130
Mon Jan 30 17:51:38 2023	1675080398	0	1131	1131	1130
Mon Jan 30 17:51:37 2023	1675080397	0	1131	1131	1130
Mon Jan 30 17:51:15 2023	1675080375	0	1131	1132	1131
Mon Jan 30 17:51:15 2023	1675080375	0	1133	1133	1132
Mon Jan 30 17:51:29 2023	1675080389	0	1134	1134	1133
Mon Jan 30 17:51:14 2023	1675080374	6	1128	1134	1128
Mon Jan 30 17:51:33 2023	1675080393	0	1135	1135	1135
Mon Jan 30 17:51:36 2023	1675080396	0	1135	1136	1134
Mon Jan 30 17:51:21 2023	1675080381	0	1135	1136	1135
Mon Jan 30 17:51:37 2023	1675080397	0	1136	1136	1135
Mon Jan 30 17:51:34 2023	1675080394	0	1136	1136	1135
Mon Jan 30 17:51:34 2023	1675080394	0	1137	1137	1136
Mon Jan 30 17:51:33 2023	1675080393	0	1137	1137	1136
Mon Jan 30 17:51:37 2023	1675080397	0	1137	1137	1136
Mon Jan 30 17:51:36 2023	1675080396	0	1137	1137	1137
Mon Jan 30 17:51:36 2023	1675080396	0	1138	1138	1137
Mon Jan 30 17:51:36 2023	1675080396	0	1138	1138	1138
Mon Jan 30 17:51:31 2023	1675080391	0	1138	1138	1138
Mon Jan 30 17:51:15 2023	1675080375	0	1138	1138	1137
Mon Jan 30 17:51:36 2023	1675080396	0	1139	1139	1138
Mon Jan 30 17:51:14 2023	1675080374	4	1135	1139	1134
Mon Jan 30 17:51:36 2023	1675080396	0	1139	1139	1139
Mon Jan 30 17:51:34 2023	1675080394	0	1139	1139	1139
Mon Jan 30 17:51:36 2023	1675080396	0	1140	1140	1139
Mon Jan 30 17:51:14 2023	1675080374	6	1134	1140	1133
Mon Jan 30 17:51:14 2023	1675080374	6	1135	1141	1134
Mon Jan 30 17:51:38 2023	1675080398	0	1141	1141	1139
Mon Jan 30 17:51:15 2023	1675080375	0	1141	1141	1140
Mon Jan 30 17:51:21 2023	1675080381	0	1141	1141	1141
Mon Jan 30 17:51:34 2023	1675080394	0	1142	1142	1141
Mon Jan 30 17:51:38 2023	1675080398	0	1142	1142	1141
Mon Jan 30 17:51:28 2023	1675080388	0	1144	1144	1143
Mon Jan 30 17:51:30 2023	1675080390	0	1144	1144	1143
Mon Jan 30 17:51:37 2023	1675080397	0	1144	1144	1143
Mon Jan 30 17:51:37 2023	1675080397	0	1144	1145	1144
Mon Jan 30 17:51:36 2023	1675080396	0	1145	1145	1144
Mon Jan 30 17:51:30 2023	1675080390	0	1145	1145	1145
Mon Jan 30 17:51:31 2023	1675080391	0	1145	1145	1144
Mon Jan 30 17:51:15 2023	1675080375	0	1146	1146	1145
Mon Jan 30 17:51:37 2023	1675080397	0	1147	1147	1146
Mon Jan 30 17:51:37 2023	1675080397	0	1147	1147	1146
Mon Jan 30 17:51:37 2023	1675080397	0	1147	1147	1146
Mon Jan 30 17:51:37 2023	1675080397	0	1147	1147	1147
Mon Jan 30 17:51:31 2023	1675080391	0	1147	1147	1146
Mon Jan 30 17:51:29 2023	1675080389	0	1147	1148	1147
Mon Jan 30 17:51:14 2023	1675080374	6	1142	1148	1141
Mon Jan 30 17:51:36 2023	1675080396	0	1148	1148	1146
Mon Jan 30 17:51:15 2023	1675080375	1	1147	1148	1146
Mon Jan 30 17:51:37 2023	1675080397	0	1149	1149	1149
Mon Jan 30 17:51:37 2023	1675080397	0	1149	1149	1149
Mon Jan 30 17:51:14 2023	1675080374	5	1145	1150	1144
Mon Jan 30 17:51:37 2023	1675080397	0	1150	1150	1150
Mon Jan 30 17:51:37 2023	1675080397	0	1150	1151	1150
Mon Jan 30 17:51:38 2023	1675080398	0	1152	1152	1152
Mon Jan 30 17:51:38 2023	1675080398	0	1153	1153	1152
Mon Jan 30 17:51:36 2023	1675080396	0	1153	1153	1152
Mon Jan 30 17:51:30 2023	1675080390	0	1153	1153	1152
Mon Jan 30 17:51:34 2023	1675080394	0	1153	1154	1153
Mon Jan 30 17:51:21 2023	1675080381	0	1154	1154	1153
Mon Jan 30 17:51:37 2023	1675080397	0	1154	1154	1154
Mon Jan 30 17:51:36 2023	1675080396	0	1154	1154	1154
Mon Jan 30 17:51:31 2023	1675080391	0	1155	1155	1154
Mon Jan 30 17:51:34 2023	1675080394	0	1155	1155	1154
Mon Jan 30 17:51:34 2023	1675080394	0	1156	1156	1155
Mon Jan 30 17:51:30 2023	1675080390	0	1157	1158	1157
Mon Jan 30 17:51:34 2023	1675080394	0	1159	1159	1158
Mon Jan 30 17:51:37 2023	1675080397	0	1159	1159	1159
Mon Jan 30 17:51:36 2023	1675080396	0	1159	1160	1159
Mon Jan 30 17:51:26 2023	1675080386	0	1160	1160	1159
Mon Jan 30 17:51:28 2023	1675080388	0	1161	1161	1160
